123 application-vnd.lotus-1-2-3
323 text-h323
3dml text-vnd.in3d.3dml
3ds image-x-3ds
3g2 video
3gp video
7z application-x-7z-compressed
aab application-x-authorware-bin
aac audio-x-aac
aam application-x-authorware-map
aas application-x-authorware-seg
abw application-x-abiword
ac application-pkix-attr-cert
acc application-vnd.americandynamics.acc
ace application-x-ace-compressed
acu application-vnd.acucobol
acutc application-vnd.acucorp
adp audio-adpcm
aep application-vnd.audiograph
afm application-x-font-type1
afp application-vnd.ibm.modcap
ahead application-vnd.ahead.space
ai application-postscript
aif audio-x-aiff
aifc audio-x-aiff
aiff audio-x-aiff
air application-vnd.adobe.air-application-installer-package+zip
ait application-vnd.dvb.ait
alc chemical-x-alchemy
ami application-vnd.amiga.ami
amr audio-amr
anx application-annodex
apk application-vnd.android.package-archive
appcache text-cache-manifest
application application-x-ms-application
~ application-x-trash
% application-x-trash
apr application-vnd.lotus-approach
arc application-x-freearc
art image-x-jg
asc text-plain
asf video
asm text-x-asm
asn chemical-x-ncbi-asn1
aso chemical-x-ncbi-asn1-binary
asx video
atc application-vnd.acucorp
atom application-atom+xml
atomcat application-atomcat+xml
atomsrv application-atomserv+xml
atomsvc application-atomsvc+xml
atx application-vnd.antix.game-component
au audio-basic
avi video
aw application-applixware
awb audio-amr-wb
axa audio-annodex
axv video
azf application-vnd.airzip.filesecure.azf
azs application-vnd.airzip.filesecure.azs
azw application-vnd.amazon.ebook
bak application-x-trash
bat application-x-msdownload
b chemical-x-molconn-Z
bcpio application-x-bcpio
bdf application-x-font-bdf
bdm application-vnd.syncml.dm+wbxml
bed application-vnd.realvnc.bed
bh2 application-vnd.fujitsu.oasysprs
bib text-x-bibtex
bin application-octet-stream
blb application-x-blorb
blorb application-x-blorb
bmi application-vnd.bmi
bmp image-bmp
book application-x-maker
boo text-x-boo
box application-vnd.previewsystems.box
boz application-x-bzip2
bpk application-octet-stream
brf text-plain
bsd chemical-x-crossfire
btif image-prs.btif
bz2 application-x-bzip2
bz application-x-bzip
c11amc application-vnd.cluetrust.cartomobile-config
c11amz application-vnd.cluetrust.cartomobile-config-pkg
c3d chemical-x-chem3d
c4d application-vnd.clonk.c4group
c4f application-vnd.clonk.c4group
c4g application-vnd.clonk.c4group
c4p application-vnd.clonk.c4group
c4u application-vnd.clonk.c4group
cab application-x-cab
cac chemical-x-cache
cache chemical-x-cache
caf audio-x-caf
cap application-vnd.tcpdump.pcap
car application-vnd.curl.car
cascii chemical-x-cactvs-binary
cat application-vnd.ms-pki.seccat
cb7 application-x-cbr
cba application-x-cbr
cbin chemical-x-cactvs-binary
cbr application-x-cbr
cbt application-x-cbr
cbz application-x-cbr
cct application-x-director
cc text-x-c
ccxml application-ccxml+xml
cda application-x-cdf
cdbcmsg application-vnd.contact.cmsg
cdf application-x-cdf
cdkey application-vnd.mediastation.cdkey
cdmia application-cdmi-capability
cdmic application-cdmi-container
cdmid application-cdmi-domain
cdmio application-cdmi-object
cdmiq application-cdmi-queue
cdr image-x-coreldraw
cdt image-x-coreldrawtemplate
cdx chemical-x-cdx
cdxml application-vnd.chemdraw+xml
cdy application-vnd.cinderella
cef chemical-x-cxf
cer chemical-x-cerius
cfs application-x-cfs-compressed
cgm image-cgm
chat application-x-chat
chm chemical-x-chemdraw
chrt application-x-kchart
cif chemical-x-cif
cii application-vnd.anser-web-certificate-issue-initiation
cil application-vnd.ms-artgalry
cla application-vnd.claymore
class application-java-vm
clkk application-vnd.crick.clicker.keyboard
clkp application-vnd.crick.clicker.palette
clkt application-vnd.crick.clicker.template
clkw application-vnd.crick.clicker.wordbank
clkx application-vnd.crick.clicker
clp application-x-msclip
cls text-x-tex
cmc application-vnd.cosmocaller
cmdf chemical-x-cmdf
cml chemical-x-cml
cmp application-vnd.yellowriver-custom-menu
cmx image-x-cmx
cod application-vnd.rim.cod
com application-x-msdownload
conf text-plain
cpa chemical-x-compass
cpio application-x-cpio
cpp text-x-c
cpt image-x-corelphotopaint
cr2 image-x-canon-cr2
crd application-x-mscardfile
crl application-pkix-crl
crt application-x-x509-ca-cert
crw image-x-canon-crw
cryptonote application-vnd.rig.cryptonote
csd audio-csound
csf chemical-x-cache-csf
csh text-x-csh
csm chemical-x-csml
csml chemical-x-csml
csp application-vnd.commonspace
css text-css
cst application-x-director
csv text-csv
ctab chemical-x-cactvs-binary
c text-x-c
c++ text-x-c++src
ctx chemical-x-ctx
cu application-cu-seeme
cub chemical-x-gaussian-cube
curl text-vnd.curl
cww application-prs.cww
cxf chemical-x-cxf
cxt application-x-director
cxx text-x-c
dae model-vnd.collada+xml
daf application-vnd.mobius.daf
dart application-vnd.dart
dataless application-vnd.fdsn.seed
dat chemical-x-mopac-input
davmount application-davmount+xml
dbk application-docbook+xml
dcm application-dicom
dcr application-x-director
dcurl text-vnd.curl.dcurl
dd2 application-vnd.oma.dd2+xml
ddd application-vnd.fujixerox.ddd
deb application-x-debian-package
def text-plain
deploy application-octet-stream
der application-x-x509-ca-cert
dfac application-vnd.dreamfactory
dgc application-x-dgc-compressed
dic text-x-c
diff text-plain
dif video
dir application-x-director
dis application-vnd.mobius.dis
dist application-octet-stream
distz application-octet-stream
djv image-vnd.djvu
djvu image-vnd.djvu
dll application-x-msdownload
dl video
dmg application-octet-stream
dmp application-vnd.tcpdump.pcap
dms application-x-dms
dna application-vnd.dna
doc application-msword
docm application-vnd.ms-word.document.macroEnabled.12
docx application-vnd.openxmlformats-officedocument.wordprocessingml.document
dot application-msword
dotm application-vnd.ms-word.template.macroEnabled.12
dotx application-vnd.openxmlformats-officedocument.wordprocessingml.template
dp application-vnd.osgi.dp
dpg application-vnd.dpgraph
dra audio-vnd.dra
dsc text-prs.lines.tag
dssc application-dssc+der
dtb application-x-dtbook+xml
dtd application-xml-dtd
d text-x-dsrc
dts audio-vnd.dts
dtshd audio-vnd.dts.hd
dump application-octet-stream
dvb video
dvi application-x-dvi
dv video
dwf model-vnd.dwf
dwg image-vnd.dwg
dx chemical-x-jcamp-dx
dxf image-vnd.dxf
dxp application-vnd.spotfire.dxp
dxr application-x-director
ecelp4800 audio-vnd.nuera.ecelp4800
ecelp7470 audio-vnd.nuera.ecelp7470
ecelp9600 audio-vnd.nuera.ecelp9600
ecma application-ecmascript
edm application-vnd.novadigm.edm
edx application-vnd.novadigm.edx
efif application-vnd.picsel
ei6 application-vnd.pg.osasli
elc application-octet-stream
emb chemical-x-embl-dl-nucleotide
embl chemical-x-embl-dl-nucleotide
emf application-x-msmetafile
eml message-rfc822
emma application-emma+xml
emz application-x-msmetafile
ent chemical-x-pdb
eol audio-vnd.digital-winds
eot application-vnd.ms-fontobject
eps2 application-postscript
eps3 application-postscript
eps application-postscript
epsf application-postscript
epsi application-postscript
epub application-epub+zip
erf image-x-epson-erf
es3 application-vnd.eszigno3+xml
esa application-vnd.osgi.subsystem
es application-ecmascript
esf application-vnd.epson.esf
et3 application-vnd.eszigno3+xml
etx text-x-setext
eva application-x-eva
evy application-x-envoy
exe application-x-msdownload
exi application-exi
ext application-vnd.novadigm.ext
ez2 application-vnd.ezpix-album
ez3 application-vnd.ezpix-package
ez application-andrew-inset
f4v video
f77 text-x-fortran
f90 text-x-fortran
fb application-x-maker
fbdoc application-x-maker
fbs image-vnd.fastbidsheet
fcdt application-vnd.adobe.formscentral.fcdt
fch chemical-x-gaussian-checkpoint
fchk chemical-x-gaussian-checkpoint
fcs application-vnd.isac.fcs
fdf application-vnd.fdf
fe_launch application-vnd.denovo.fcselayout-link
fg5 application-vnd.fujitsu.oasysgp
fgd application-x-director
fh4 image-x-freehand
fh5 image-x-freehand
fh7 image-x-freehand
fhc image-x-freehand
fh image-x-freehand
fig application-x-xfig
flac audio-flac
fli video
flo application-vnd.micrografx.flo
flv video
flw application-vnd.kde.kivio
flx text-vnd.fmi.flexstor
fly text-vnd.fly
fm application-x-maker
fnc application-vnd.frogans.fnc
for text-x-fortran
fpx image-vnd.fpx
frame application-x-maker
frm application-x-maker
fsc application-vnd.fsc.weblaunch
fst image-vnd.fst
ftc application-vnd.fluxtime.clip
f text-x-fortran
fti application-vnd.anser-web-funds-transfer-initiation
fvt video
fxp application-vnd.adobe.fxp
